P,S,A,O,V
0,0,0,0,93
0,0,0,0,90
0,0,0,0,84
0,0,0,0,70
0,0,0,0,66
45,0,0,0,55
38,0,0,0,60
44,0,0,0,52
44,0,0,0,39
33,0,0,0,48
0,272,0,0,68
0,278,0,0,85
0,347,0,0,115
0,414,0,0,97
0,366,0,0,68
0,0,33,0,60
0,0,61,0,114
0,0,97,0,50
0,0,34,0,67
0,0,34,0,100
0,0,0,79,41
0,0,0,139,49
0,0,0,151,64
0,0,0,120,75
0,0,0,68,41
35,103,0,0,74
23,84,0,0,59
7,46,0,0,32
20,106,0,0,53
2,53,0,0,19
35,0,28,0,36
30,0,41,0,24
39,0,31,0,30
32,0,17,0,35
21,0,18,0,19
20,0,0,25,26
28,0,0,41,38
34,0,0,27,50
26,0,0,35,29
32,0,0,44,42
0,80,25,0,37
0,92,27,0,62
0,128,22,0,83
0,152,20,0,43
0,145,18,0,76
0,177,0,81,85
0,27,0,99,69
0,25,0,96,62
0,127,0,50,81
0,32,0,58,33
0,0,49,27,120
0,0,22,70,22
0,0,19,53,11
0,0,33,119,26
0,0,37,59,20
22,55,24,0,33
8,41,39,0,8
24,59,29,0,46
13,85,40,0,33
4,20,52,0,19
15,34,0,31,51
11,29,0,33,20
18,23,0,28,28
11,46,0,43,18
8,36,0,34,18
13,0,28,34,23
34,0,30,33,25
33,0,27,39,28
50,0,88,50,29
79,0,82,39,56
0,44,65,47,46
0,81,47,67,55
0,148,71,98,46
0,89,28,63,55
0,31,27,65,78
12,32,41,40,33
8,28,50,49,7
5,10,22,25,26
11,24,43,32,16
3,14,34,18,3
